,split0_test_rmse,rank_test_rmse,params,param_k,name,min_support,user_based
0,3.8460731511218835,16,"{'k': 10, 'sim_options': {'name': 'cosine', 'min_support': 1, 'user_based': False}}",10,cosine,1,False
1,3.816283557476917,13,"{'k': 10, 'sim_options': {'name': 'cosine', 'min_support': 3, 'user_based': False}}",10,cosine,3,False
2,3.688988611487926,2,"{'k': 10, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': False}}",10,msd,1,False
3,3.8323840016430113,15,"{'k': 10, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': False}}",10,msd,3,False
4,3.789358562011741,7,"{'k': 10, 'sim_options': {'name': 'pearson', 'min_support': 1, 'user_based': False}}",10,pearson,1,False
5,3.8082151242482327,12,"{'k': 10, 'sim_options': {'name': 'pearson', 'min_support': 3, 'user_based': False}}",10,pearson,3,False
6,3.7382214387131567,4,"{'k': 10, 'sim_options': {'name': 'pearson_baseline', 'min_support': 1, 'user_based': False}}",10,pearson_baseline,1,False
7,3.7918685628085864,8,"{'k': 10, 'sim_options': {'name': 'pearson_baseline', 'min_support': 3, 'user_based': False}}",10,pearson_baseline,3,False
8,3.797232622722153,10,"{'k': 20, 'sim_options': {'name': 'cosine', 'min_support': 1, 'user_based': False}}",20,cosine,1,False
9,3.796710154538795,9,"{'k': 20, 'sim_options': {'name': 'cosine', 'min_support': 3, 'user_based': False}}",20,cosine,3,False
10,3.6643394484515284,1,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': False}}",20,msd,1,False
11,3.8192370509414295,14,"{'k': 20, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': False}}",20,msd,3,False
12,3.7782845486067522,5,"{'k': 20, 'sim_options': {'name': 'pearson', 'min_support': 1, 'user_based': False}}",20,pearson,1,False
13,3.799279334619244,11,"{'k': 20, 'sim_options': {'name': 'pearson', 'min_support': 3, 'user_based': False}}",20,pearson,3,False
14,3.726399221310742,3,"{'k': 20, 'sim_options': {'name': 'pearson_baseline', 'min_support': 1, 'user_based': False}}",20,pearson_baseline,1,False
15,3.784920656848108,6,"{'k': 20, 'sim_options': {'name': 'pearson_baseline', 'min_support': 3, 'user_based': False}}",20,pearson_baseline,3,False
